Country,Indicators,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BAHAMAS,Europe,Thousands,105.4,94.9,80.1,102.8,94.47,96.3,92.5,97.6,105.6,90.2,90.2,90.2,91.2,94.2,99.9,105.4,110.4,116.0,123.5,119.6,24.2,18.6,56.5
BAHAMAS,Middle East,Thousands,0.6,0.5,0.3,0.5,0.8,0.6,0.7,0.8,0.8,0.7,0.6,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.2,0.2,0.4,0.75
BAHAMAS,South Asia,Thousands,0.4,0.3,0.4,0.6,0.6,0.6,0.7,0.8,1.0,0.8,0.9,0.7,0.9,0.8,0.8,1.1,1.0,1.8,2.2,2.3,0.3,0.4,1.48
BAHAMAS,Other not classified,Thousands,13.9,12.6,16.6,2.4,0.7,0.4,0.3,0.3,0.3,0.3,0.4,0.7,0.6,0.6,0.9,1.4,0.9,2.6,1.9,2.1,3.0,0.1,1.9
BAHAMAS,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BAHRAIN,Total,Thousands,3868.0,4387.0,4831.0,4844.0,5667.0,6313.0,7289.0,7833.0,,,,6732.0,8062.0,9163.0,10452.0,9670.0,10158.0,11374.000000000002,12044.6,11061.0,1908.9,3612.1,9948.700000000003
BAHRAIN,Africa,Thousands,32.0,39.0,47.0,60.0,76.0,82.0,99.0,109.0,,,,100.0,114.0,124.0,132.5,,,,14.4,7.7,1.6,4.9,5.2
BAHRAIN,Americas,Thousands,121.0,139.0,177.0,192.0,200.0,190.0,234.0,267.0,,,,291.0,326.0,335.0,345.3,62.0,55.0,48.8,50.9,61.0,33.4,15.1,30.1
BAHRAIN,East Asia and the Pacific,Thousands,107.0,135.0,187.0,212.0,268.0,287.0,374.0,390.0,,,,339.0,367.0,335.0,378.4,143.0,112.0,74.9,13.7,6.4,8.4,3.3,3.6
BAHRAIN,Europe,Thousands,216.0,235.0,256.0,260.0,334.0,358.0,430.0,507.0,,,,513.0,541.0,552.0,579.8,146.0,162.0,203.9,179.7,185.9,65.8,25.6,48.3
BAHRAIN,Middle East,Thousands,3060.0,3447.0,3642.0,3559.0,4141.0,4676.0,5210.0,5451.0,,,,4276.0,5333.0,6423.0,7494.7,9312.0,9823.0,11031.7,11721.8,10770.2,1799.7,3543.0,9843.7
BAHRAIN,South Asia,Thousands,332.0,392.0,522.0,561.0,648.0,720.0,942.0,1109.0,,,,1213.0,1381.0,1394.0,1521.3,,,,64.1,29.8,,20.2,17.6
BAHRAIN,Other not classified,Thousands,,,,,,,,,,,,,,,,7.0,6.0,14.7,,,,,0.2
BAHRAIN,"of which, nationals residing abroad",Thousands,,,,,,,,,,,,,,,,,,,,,,,
BANGLADESH,Total,Thousands,199.0,207.0,207.0,245.0,270.0,208.0,200.0,289.0,,,139.20000000000002,156.6,159.5,103.9,134.0,126.19999999999999,182.4,237.39999999999998,267.29999999999995,323.3,181.5,135.20000000000002,
BANGLADESH,Africa,Thousands,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
BANGLADESH,Americas,Thousands,15.0,19.0,18.0,31.0,37.0,19.0,25.0,46.0,,,7.1,6.8,6.7,5.0,6.0,4.1,5.2,6.8,8.6,8.8,25.5,52.1,
BANGLADESH,East Asia and the Pacific,Thousands,38.0,38.0,41.0,43.0,51.0,36.0,37.0,57.0,,,12.0,13.1,14.0,12.0,15.5,9.0,11.9,15.4,16.6,17.3,9.1,5.7,
